"Luxo Professional Combination Clamp-On Lamps","Beth Paige","Northwest Territories","Office Furnishings"
"Xerox 217","Beth Paige","Northwest Territories","Paper"
"Revere Boxed Rubber Bands by Revere","Beth Paige","Northwest Territories","Rubber Bands"
"Acco Smartsocket Table Surge Protector, 6 Color-Coded Adapter Outlets","Sylvia Foulston","Northwest Territories","Appliances"
"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units","Bryan Davis","Northwest Territories","Storage & Organization"
"Hon 4070 Series Pagoda Round Back Stacking Chairs","Joy Bell","Northwest Territories","Chairs & Chairmats"
"Xerox 1887","Joy Bell","Northwest Territories","Paper"
"Xerox 1891","Joy Bell","Northwest Territories","Paper"
"Avery 506","Alan Barnes","Northwest Territories","Labels"
"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order","Grant Carroll","Northwest Territories","Bookcases"
"Lifetime Advantage Folding Chairs, 4/Carton","Grant Carroll","Northwest Territories","Chairs & Chairmats"
"Microsoft Natural Multimedia Keyboard","Grant Carroll","Northwest Territories","Computer Peripherals"
"Staples Wirebound Steno Books, 6"" x 9"", 12/Pack","Delfina Latchford","Northwest Territories","Paper"
"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""","Don Jones","Northwest Territories","Binders and Binder Accessories"
"Bevis Boat-Shaped Conference Table","Doug Bickford","Northwest Territories","Tables"
"Linden 12"" Wall Clock With Oak Frame","Doug Bickford","Northwest Territories","Office Furnishings"
"Newell 326","Doug Bickford","Northwest Territories","Pens & Art Supplies"
"Prismacolor Color Pencil Set","Jamie Kunitz","Northwest Territories","Pens & Art Supplies"
"Xerox Blank Computer Paper","Anthony Johnson","Northwest Territories","Paper"
"600 Series Flip","Ralph Knight","Northwest Territories","Telephones and Communication"
